run,a,Rs,Rp,fitness,nfes
1,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
2,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
3,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
4,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
5,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
6,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
7,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
8,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
9,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
10,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
11,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
12,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
13,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
14,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
15,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
16,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240
17,1.626921129999525,1.0,131.5018824410301,3.329904426563265e-13,16500
18,1.626921129999525,1.0,131.5018824410301,3.329904426563265e-13,16500
19,1.626921129999525,1.0,131.5018824410301,3.329904426563265e-13,16500
20,1.626921129999525,1.0,131.5018824410301,3.329904426563265e-13,16500
21,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
22,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
23,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
24,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
25,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
26,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
27,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
28,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
29,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
30,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,960
