,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.8494241993293712,0.6558861917357474,144.30898394767294,2.1797909758462127e-12,2142.6666666666665
std,8.803408430829505,0.3904572470208609,0.06987905201583813,33.0175240629659,5.24846249690692e-12,1044.1526289981164
min,1.0,0.8706814949702846,0.4807233208456173,61.54534967223605,1.557756738090509e-13,1740.0
25%,8.25,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740.0
50%,15.5,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740.0
75%,22.75,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740.0
max,30.0,2.0,0.6828343257188444,157.04185075927865,1.533589043908777e-11,4760.0
