,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.901957802233127,0.6306416705084804,147.53516945857325,9.734171968359636e-13,1802.0
std,8.803408430829505,0.30106528392664283,0.17507857900939996,29.007765947764415,2.9599794909182195e-12,577.6850352917237
min,1.0,0.8706814949702846,0.001,61.54534967223605,1.557756738090509e-13,1160.0
25%,8.25,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740.0
50%,15.5,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740.0
75%,22.75,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740.0
max,30.0,2.0,0.6828343257188444,157.04185075927865,1.533589043908777e-11,4760.0
