,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.4967716454176314,0.5177184288524762,101.10971202569553,8.74604253258117e-12,4248.0
std,8.803408430829505,0.39511234196717887,0.251773078875901,41.63320838865695,1.128576508565738e-11,4999.353337493105
min,1.0,1.1497165526581778,0.3079328865310863,63.17971378939021,3.329904426563265e-13,960.0
25%,8.25,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,960.0
50%,15.5,1.1497165526581778,0.3079328865310863,63.17971378939021,1.0438151662626012e-12,3240.0
75%,22.75,2.0,0.6604626681076904,149.64084103765012,2.4434827154660817e-11,3240.0
max,30.0,2.0,1.0,149.64084103765012,2.4434827154660817e-11,16500.0
