run,a,Rs,Rp,fitness,nfes
1,0.8706814949702846,0.4807233208456173,61.54534967223605,1.533589043908777e-11,4760
2,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
3,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
4,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
5,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
6,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
7,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
8,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
9,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
10,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
11,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
12,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
13,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
14,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
15,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
16,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
17,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
18,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
19,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
20,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
21,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
22,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
23,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
24,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
25,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
26,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
27,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
28,2.0,0.6828343257188444,157.04185075927865,1.557756738090509e-13,1740
29,1.094026286011763,0.001,62.18988179221907,4.8303411365733804e-12,1160
30,1.094026286011763,0.001,62.18988179221907,4.8303411365733804e-12,1160
