,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.486992011159931,0.8470209854837881,104.48446080627933,5.565180228689467e-11,3883.3333333333335
std,8.803408430829505,0.1839707558356273,0.08585763071389718,45.752953284234884,1.4524099593359919e-11,4633.095586391855
min,1.0,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,40.0
25%,8.25,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,40.0
50%,15.5,1.4583962113885414,0.827482531306484,88.53501219871642,5.437302157391663e-11,3220.0
75%,22.75,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,3220.0
max,30.0,1.7729741184909833,1.0,200.0,7.481600694452305e-11,13560.0
