,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.9736054180447993,0.6717006388588727,144.60763598985653,4.9834821808997246e-11,350.0
std,8.803408430829505,4.516810283266961e-16,1.1292025708167404e-16,0.0,0.0,0.0
min,1.0,1.9736054180447997,0.6717006388588725,144.60763598985653,4.9834821808997246e-11,350.0
25%,8.25,1.9736054180447997,0.6717006388588725,144.60763598985653,4.9834821808997246e-11,350.0
50%,15.5,1.9736054180447997,0.6717006388588725,144.60763598985653,4.9834821808997246e-11,350.0
75%,22.75,1.9736054180447997,0.6717006388588725,144.60763598985653,4.9834821808997246e-11,350.0
max,30.0,1.9736054180447997,0.6717006388588725,144.60763598985653,4.9834821808997246e-11,350.0
