,run,a,Rs,Rp,fitness,nfes
count,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,1.258277231341013,0.6255316051730787,69.1281120302393,7.063719187084532e-11,3049.3333333333335
std,8.803408430829505,0.507376115839649,0.4163098695840271,8.3762462545957,3.3942503465657686e-11,322.5644371159878
min,1.0,0.8960634133521039,0.001,62.89830328047114,7.1489722811578294e-12,2580.0
25%,8.25,0.8960634133521039,0.001,62.89830328047114,3.195361486633139e-11,2580.0
50%,15.5,0.8960634133521039,0.9007163473421145,62.89830328047114,9.564396198768742e-11,3220.0
75%,22.75,2.0,0.9007163473421145,80.57907361619654,9.564396198768742e-11,3220.0
max,30.0,2.0,0.9007163473421145,80.57907361619654,9.564396198768742e-11,3540.0
